x,N
2.500000000000000000e+02,8.918000000000000000e+03
7.500000000000000000e+02,0.000000000000000000e+00
1.250000000000000000e+03,3.490718678739320603e+05
1.750000000000000000e+03,0.000000000000000000e+00
2.250000000000000000e+03,6.513790811153120594e+05
2.750000000000000000e+03,0.000000000000000000e+00
3.250000000000000000e+03,9.213505463507175446e+05
3.750000000000000000e+03,0.000000000000000000e+00
4.250000000000000000e+03,1.145826668384217424e+06
4.750000000000000000e+03,0.000000000000000000e+00
5.250000000000000000e+03,1.303849537163596135e+06
5.750000000000000000e+03,0.000000000000000000e+00
6.250000000000000000e+03,1.397328766701616812e+06
6.750000000000000000e+03,0.000000000000000000e+00
7.250000000000000000e+03,1.451253758090487448e+06
7.750000000000000000e+03,0.000000000000000000e+00
8.250000000000000000e+03,1.482439532071435824e+06
8.750000000000000000e+03,0.000000000000000000e+00
9.250000000000000000e+03,1.499037875521716895e+06
9.750000000000000000e+03,0.000000000000000000e+00
1.025000000000000000e+04,1.505733709559857380e+06
1.075000000000000000e+04,0.000000000000000000e+00
1.125000000000000000e+04,1.505567737764223013e+06
1.175000000000000000e+04,0.000000000000000000e+00
1.225000000000000000e+04,1.500630687781861750e+06
1.275000000000000000e+04,0.000000000000000000e+00
1.325000000000000000e+04,1.492398227584329667e+06
1.375000000000000000e+04,0.000000000000000000e+00
1.425000000000000000e+04,1.481928564003955573e+06
1.475000000000000000e+04,0.000000000000000000e+00
1.525000000000000000e+04,1.469987682447023690e+06
1.575000000000000000e+04,0.000000000000000000e+00
1.625000000000000000e+04,1.457132791376320645e+06
1.675000000000000000e+04,0.000000000000000000e+00
1.725000000000000000e+04,1.443769910317170667e+06
1.775000000000000000e+04,0.000000000000000000e+00
1.825000000000000000e+04,1.430194525018580491e+06
1.875000000000000000e+04,0.000000000000000000e+00
1.925000000000000000e+04,1.416620649860765319e+06
1.975000000000000000e+04,0.000000000000000000e+00
2.025000000000000000e+04,1.403201943309148774e+06
2.075000000000000000e+04,0.000000000000000000e+00
2.125000000000000000e+04,1.390047080718870740e+06
2.175000000000000000e+04,0.000000000000000000e+00
2.225000000000000000e+04,1.377235949087689165e+06
2.275000000000000000e+04,0.000000000000000000e+00
2.325000000000000000e+04,1.364820722864062758e+06
2.375000000000000000e+04,0.000000000000000000e+00
2.425000000000000000e+04,1.352832560381183168e+06
2.475000000000000000e+04,0.000000000000000000e+00
2.525000000000000000e+04,1.341287901570484741e+06
2.575000000000000000e+04,0.000000000000000000e+00
2.625000000000000000e+04,1.330192020529802423e+06
2.675000000000000000e+04,0.000000000000000000e+00
2.725000000000000000e+04,1.319541773744521430e+06
2.775000000000000000e+04,0.000000000000000000e+00
2.825000000000000000e+04,1.309327794536831556e+06
2.875000000000000000e+04,0.000000000000000000e+00
2.925000000000000000e+04,1.299536394771489082e+06
2.975000000000000000e+04,0.000000000000000000e+00
3.025000000000000000e+04,1.290151940919446759e+06
3.075000000000000000e+04,0.000000000000000000e+00
3.125000000000000000e+04,1.281159736602320801e+06
3.175000000000000000e+04,0.000000000000000000e+00
3.225000000000000000e+04,1.272540233520405134e+06
3.275000000000000000e+04,0.000000000000000000e+00
3.325000000000000000e+04,1.264273280992447631e+06
3.375000000000000000e+04,0.000000000000000000e+00
3.425000000000000000e+04,1.256337963318977039e+06
3.475000000000000000e+04,0.000000000000000000e+00
3.525000000000000000e+04,1.248712093319074716e+06
3.575000000000000000e+04,0.000000000000000000e+00
3.625000000000000000e+04,1.241373669150952483e+06
3.675000000000000000e+04,0.000000000000000000e+00
3.725000000000000000e+04,1.234302015532227932e+06
3.775000000000000000e+04,0.000000000000000000e+00
3.825000000000000000e+04,1.227479588626245735e+06
3.875000000000000000e+04,0.000000000000000000e+00
3.925000000000000000e+04,1.220887885580444708e+06
3.975000000000000000e+04,0.000000000000000000e+00
4.025000000000000000e+04,1.214508721868815832e+06
4.075000000000000000e+04,0.000000000000000000e+00
4.125000000000000000e+04,1.208324656822124496e+06
4.175000000000000000e+04,0.000000000000000000e+00
4.225000000000000000e+04,1.202319236194607103e+06
