x,N
2.500000000000000000e+02,8.995770585755115462e+03
7.500000000000000000e+02,2.862322672526942915e+05
1.250000000000000000e+03,5.375863257202601526e+05
1.750000000000000000e+03,0.000000000000000000e+00
2.250000000000000000e+03,7.707927431785955559e+05
2.750000000000000000e+03,9.914777266395584447e+05
3.250000000000000000e+03,0.000000000000000000e+00
3.750000000000000000e+03,1.197715262456514174e+06
4.250000000000000000e+03,1.386859855238355231e+06
4.750000000000000000e+03,1.556975955556661356e+06
5.250000000000000000e+03,0.000000000000000000e+00
5.750000000000000000e+03,1.707023452063726494e+06
6.250000000000000000e+03,1.836898835217961809e+06
6.750000000000000000e+03,0.000000000000000000e+00
7.250000000000000000e+03,1.947343789334127447e+06
7.750000000000000000e+03,2.039760065919382032e+06
8.250000000000000000e+03,0.000000000000000000e+00
8.750000000000000000e+03,2.115982156255789101e+06
9.250000000000000000e+03,2.178055273915803991e+06
9.750000000000000000e+03,2.228050962427475024e+06
1.025000000000000000e+04,0.000000000000000000e+00
1.075000000000000000e+04,2.267934580701488536e+06
1.125000000000000000e+04,2.299484330734294839e+06
1.175000000000000000e+04,0.000000000000000000e+00
1.225000000000000000e+04,2.324252968179586809e+06
1.275000000000000000e+04,2.343560323035919573e+06
1.325000000000000000e+04,2.358505362213557586e+06
1.375000000000000000e+04,0.000000000000000000e+00
1.425000000000000000e+04,2.369988823138583917e+06
1.475000000000000000e+04,2.378740106471534818e+06
1.525000000000000000e+04,0.000000000000000000e+00
1.575000000000000000e+04,2.385344441134586465e+06
1.625000000000000000e+04,2.390268087482298724e+06
1.675000000000000000e+04,0.000000000000000000e+00
1.725000000000000000e+04,2.393880535086032003e+06
1.775000000000000000e+04,2.396473391429041512e+06
1.825000000000000000e+04,2.398276075750026852e+06
1.875000000000000000e+04,0.000000000000000000e+00
1.925000000000000000e+04,2.399468638968492858e+06
1.975000000000000000e+04,2.400192108502343763e+06
2.025000000000000000e+04,0.000000000000000000e+00
2.075000000000000000e+04,2.400556761920933146e+06
2.125000000000000000e+04,2.400648701474304311e+06
2.175000000000000000e+04,2.400535054078162182e+06
2.225000000000000000e+04,0.000000000000000000e+00
2.275000000000000000e+04,2.400268070404238533e+06
2.325000000000000000e+04,2.399888348564630374e+06
2.375000000000000000e+04,0.000000000000000000e+00
2.425000000000000000e+04,2.399427365269600879e+06
2.475000000000000000e+04,2.398909461129271891e+06
2.525000000000000000e+04,0.000000000000000000e+00
2.575000000000000000e+04,2.398353396795222536e+06
2.625000000000000000e+04,2.397773572263597511e+06
2.675000000000000000e+04,2.397180982085867319e+06
2.725000000000000000e+04,0.000000000000000000e+00
2.775000000000000000e+04,2.396583963649504352e+06
2.825000000000000000e+04,2.395988783362257760e+06
2.875000000000000000e+04,0.000000000000000000e+00
2.925000000000000000e+04,2.395400095862942748e+06
2.975000000000000000e+04,2.394821303756682202e+06
3.025000000000000000e+04,2.394254839397547767e+06
3.075000000000000000e+04,0.000000000000000000e+00
3.125000000000000000e+04,2.393702385565790813e+06
3.175000000000000000e+04,2.393165048225899227e+06
3.225000000000000000e+04,0.000000000000000000e+00
3.275000000000000000e+04,2.392643491684378125e+06
3.325000000000000000e+04,2.392138044237395283e+06
3.375000000000000000e+04,0.000000000000000000e+00
3.425000000000000000e+04,2.391648780674561858e+06
3.475000000000000000e+04,2.391175586630340666e+06
3.525000000000000000e+04,2.390718208669845015e+06
3.575000000000000000e+04,0.000000000000000000e+00
3.625000000000000000e+04,2.390276293160527945e+06
3.675000000000000000e+04,2.389849416347773746e+06
3.725000000000000000e+04,0.000000000000000000e+00
3.775000000000000000e+04,2.389437107538423967e+06
3.825000000000000000e+04,2.389038866883371957e+06
3.875000000000000000e+04,0.000000000000000000e+00
3.925000000000000000e+04,2.388654178930381313e+06
3.975000000000000000e+04,2.388282522869679611e+06
4.025000000000000000e+04,2.387923380199951120e+06
4.075000000000000000e+04,0.000000000000000000e+00
4.125000000000000000e+04,2.387576240387394093e+06
4.175000000000000000e+04,2.387240604963012505e+06
4.225000000000000000e+04,0.000000000000000000e+00
4.275000000000000000e+04,2.386915990403524134e+06
4.325000000000000000e+04,2.386601930077890866e+06
4.375000000000000000e+04,2.386297975492605474e+06
4.425000000000000000e+04,0.000000000000000000e+00
4.475000000000000000e+04,2.386003697013949975e+06
4.525000000000000000e+04,2.385718684202214237e+06
4.575000000000000000e+04,0.000000000000000000e+00
4.625000000000000000e+04,2.385442545855945908e+06
4.675000000000000000e+04,2.385174909839092288e+06
4.725000000000000000e+04,0.000000000000000000e+00
4.775000000000000000e+04,2.384915422761056107e+06
4.825000000000000000e+04,2.384663749572512228e+06
4.875000000000000000e+04,2.384419573122768663e+06
4.925000000000000000e+04,0.000000000000000000e+00
4.975000000000000000e+04,2.384182593713249080e+06
5.025000000000000000e+04,2.383952528677343857e+06
5.075000000000000000e+04,0.000000000000000000e+00
5.125000000000000000e+04,2.383729112013763748e+06
5.175000000000000000e+04,2.383512094092939049e+06
5.225000000000000000e+04,2.383301241450170986e+06
5.275000000000000000e+04,0.000000000000000000e+00
5.325000000000000000e+04,2.383096336694066878e+06
5.375000000000000000e+04,2.382897178578038700e+06
5.425000000000000000e+04,0.000000000000000000e+00
5.475000000000000000e+04,2.382703582264440134e+06
5.525000000000000000e+04,2.382515379787047394e+06
5.575000000000000000e+04,0.000000000000000000e+00
5.625000000000000000e+04,2.382332420731791295e+06
5.675000000000000000e+04,2.382154573186790105e+06
5.725000000000000000e+04,2.381981725036952645e+06
5.775000000000000000e+04,0.000000000000000000e+00
5.825000000000000000e+04,2.381813785669557285e+06
5.875000000000000000e+04,2.381650688139521517e+06
5.925000000000000000e+04,0.000000000000000000e+00
5.975000000000000000e+04,2.381492391866140999e+06
6.025000000000000000e+04,2.381338885969397146e+06
6.075000000000000000e+04,2.381190193372562528e+06
6.125000000000000000e+04,0.000000000000000000e+00
6.175000000000000000e+04,2.381046375814561732e+06
6.225000000000000000e+04,2.380907539942244068e+06
6.275000000000000000e+04,0.000000000000000000e+00
6.325000000000000000e+04,2.380773844687120989e+06
6.375000000000000000e+04,2.380645510171335191e+06
6.425000000000000000e+04,0.000000000000000000e+00
6.475000000000000000e+04,2.380522828435538337e+06
6.525000000000000000e+04,2.380406176337754354e+06
6.575000000000000000e+04,2.380296031040130649e+06
6.625000000000000000e+04,0.000000000000000000e+00
6.675000000000000000e+04,2.380192988580581266e+06
6.725000000000000000e+04,2.380097786122072488e+06
6.775000000000000000e+04,0.000000000000000000e+00
6.825000000000000000e+04,2.380011328585973941e+06
6.875000000000000000e+04,2.379934720511111896e+06
6.925000000000000000e+04,0.000000000000000000e+00
6.975000000000000000e+04,2.379869304140686058e+06
7.025000000000000000e+04,2.379816704930086620e+06
7.075000000000000000e+04,2.379778885894747451e+06
7.125000000000000000e+04,0.000000000000000000e+00
7.175000000000000000e+04,2.379758212485538330e+06
7.225000000000000000e+04,2.379757529997108504e+06
7.275000000000000000e+04,0.000000000000000000e+00
7.325000000000000000e+04,2.379780255890096072e+06
7.375000000000000000e+04,2.379830489852725063e+06
7.425000000000000000e+04,2.379913144950869959e+06
7.475000000000000000e+04,0.000000000000000000e+00
7.525000000000000000e+04,2.380034103832283057e+06
7.575000000000000000e+04,2.380200404675259255e+06
7.625000000000000000e+04,0.000000000000000000e+00
7.675000000000000000e+04,2.380420462419761810e+06
7.725000000000000000e+04,2.380704331809035502e+06
7.775000000000000000e+04,0.000000000000000000e+00
7.825000000000000000e+04,2.381064019919483922e+06
7.875000000000000000e+04,2.381513857185180765e+06
7.925000000000000000e+04,2.382070937448226381e+06
7.975000000000000000e+04,0.000000000000000000e+00
8.025000000000000000e+04,2.382755639299790375e+06
8.075000000000000000e+04,2.383592242925998289e+06
8.125000000000000000e+04,0.000000000000000000e+00
8.175000000000000000e+04,2.384609658829252236e+06
8.225000000000000000e+04,2.385842287126350217e+06
8.275000000000000000e+04,2.387331028561986517e+06
8.325000000000000000e+04,0.000000000000000000e+00
8.375000000000000000e+04,2.389124470808542799e+06
8.425000000000000000e+04,2.391280275855729356e+06
8.475000000000000000e+04,0.000000000000000000e+00
8.525000000000000000e+04,2.393866795960199088e+06
