x,N
2.500000000000000000e+02,8.790090554986100644e+06
7.500000000000000000e+02,7.999577050474870019e+06
1.250000000000000000e+03,7.277536001857397147e+06
1.750000000000000000e+03,6.633407024501257576e+06
2.250000000000000000e+03,6.073157794124296866e+06
2.750000000000000000e+03,5.595008376717926934e+06
3.250000000000000000e+03,5.190024239970741794e+06
3.750000000000000000e+03,4.846501691869553179e+06
4.250000000000000000e+03,4.552863288086692803e+06
4.750000000000000000e+03,4.299270413695503026e+06
5.250000000000000000e+03,4.077887934597840067e+06
5.750000000000000000e+03,3.882679715102543123e+06
6.250000000000000000e+03,3.709011569973424077e+06
6.750000000000000000e+03,3.553278273929227144e+06
7.250000000000000000e+03,3.412641487800090574e+06
7.750000000000000000e+03,3.284846649159641005e+06
8.250000000000000000e+03,3.168075863897679839e+06
8.750000000000000000e+03,3.060851002349976450e+06
9.250000000000000000e+03,2.961956278685507365e+06
9.750000000000000000e+03,2.870382852961885743e+06
1.025000000000000000e+04,2.785285138904300518e+06
1.075000000000000000e+04,2.705948209822147153e+06
1.125000000000000000e+04,2.631763634673468303e+06
1.175000000000000000e+04,2.562209588074002881e+06
1.225000000000000000e+04,2.496835456894471776e+06
1.275000000000000000e+04,2.435249911738006398e+06
1.325000000000000000e+04,2.377111075416138861e+06
1.375000000000000000e+04,2.322118854255464859e+06
1.425000000000000000e+04,2.270008437431651168e+06
1.475000000000000000e+04,2.220545168749031611e+06
1.525000000000000000e+04,2.173520227136889473e+06
1.575000000000000000e+04,2.128747091506703757e+06
1.625000000000000000e+04,2.086058545350820990e+06
1.675000000000000000e+04,2.045304148583020316e+06
1.725000000000000000e+04,2.006348176015253412e+06
1.775000000000000000e+04,1.969067791700856294e+06
1.825000000000000000e+04,1.933351521343247732e+06
1.875000000000000000e+04,1.899097935684004333e+06
1.925000000000000000e+04,1.866214519784992794e+06
1.975000000000000000e+04,1.834616700281627011e+06
2.025000000000000000e+04,1.804226990879641380e+06
2.075000000000000000e+04,1.774974252118572826e+06
2.125000000000000000e+04,1.746793043428352103e+06
2.175000000000000000e+04,1.719623055743801408e+06
2.225000000000000000e+04,1.693408611023402773e+06
2.275000000000000000e+04,1.668098217576120049e+06
2.325000000000000000e+04,1.643644181976938620e+06
2.375000000000000000e+04,1.620002259787515737e+06
2.425000000000000000e+04,1.597131347299034474e+06
2.475000000000000000e+04,1.574993204277778743e+06
2.525000000000000000e+04,1.553552207207331900e+06
2.575000000000000000e+04,1.532775129247734323e+06
2.625000000000000000e+04,1.512630939919993281e+06
2.675000000000000000e+04,1.493090625900498591e+06
2.725000000000000000e+04,1.474127029700065032e+06
2.775000000000000000e+04,1.455714703596589155e+06
2.825000000000000000e+04,1.437829777363397181e+06
2.875000000000000000e+04,1.420449837916632649e+06
2.925000000000000000e+04,1.403553820144423284e+06
2.975000000000000000e+04,1.387121907865060028e+06
3.025000000000000000e+04,1.371135443099921802e+06
3.075000000000000000e+04,1.355576843355364166e+06
3.125000000000000000e+04,1.340429525983706350e+06
3.175000000000000000e+04,1.325677838926590048e+06
3.225000000000000000e+04,1.311306997215964599e+06
3.275000000000000000e+04,1.297303024424154311e+06
3.325000000000000000e+04,1.283652699005124392e+06
3.375000000000000000e+04,1.270343504900436383e+06
3.425000000000000000e+04,1.257363585941761965e+06
3.475000000000000000e+04,1.244701703692470444e+06
3.525000000000000000e+04,1.232347198488838971e+06
3.575000000000000000e+04,1.220289953443352133e+06
3.625000000000000000e+04,1.208520361075473716e+06
3.675000000000000000e+04,1.197029292348652845e+06
3.725000000000000000e+04,1.185808067828658503e+06
3.775000000000000000e+04,1.174848430998528376e+06
3.825000000000000000e+04,1.164142523340498796e+06
3.875000000000000000e+04,1.153682861181781860e+06
3.925000000000000000e+04,1.143462314015398500e+06
3.975000000000000000e+04,1.133474084310655482e+06
4.025000000000000000e+04,1.123711688636285951e+06
4.075000000000000000e+04,1.114168940031284699e+06
4.125000000000000000e+04,1.104839931468025083e+06
4.175000000000000000e+04,1.095719020354574081e+06
4.225000000000000000e+04,1.086800814000695944e+06
4.275000000000000000e+04,1.078080155976108508e+06
4.325000000000000000e+04,1.069552113285487518e+06
4.375000000000000000e+04,1.061211964348783717e+06
4.425000000000000000e+04,1.053055187607922126e+06
4.475000000000000000e+04,1.045077450829096604e+06
4.525000000000000000e+04,1.037274601067722775e+06
4.575000000000000000e+04,1.029642655159623944e+06
4.625000000000000000e+04,1.022177790742781828e+06
4.675000000000000000e+04,1.014876337781799375e+06
4.725000000000000000e+04,1.007734770537642413e+06
4.775000000000000000e+04,1.000749699970590649e+06
4.825000000000000000e+04,9.939178665708275512e+05
4.875000000000000000e+04,9.872361335774663603e+05
4.925000000000000000e+04,9.807014805131751345e+05
4.975000000000000000e+04,9.743109970791930100e+05
5.025000000000000000e+04,9.680618773417583434e+05
5.075000000000000000e+04,9.619514142173911678e+05
5.125000000000000000e+04,9.559769942678280640e+05
5.175000000000000000e+04,9.501360927302134223e+05
5.225000000000000000e+04,9.444262688035910251e+05
5.275000000000000000e+04,9.388451611352709588e+05
5.325000000000000000e+04,9.333904835106245009e+05
5.375000000000000000e+04,9.280600208210232668e+05
5.425000000000000000e+04,9.228516252177995630e+05
5.475000000000000000e+04,9.177632124102381058e+05
5.525000000000000000e+04,9.127927581576255616e+05
5.575000000000000000e+04,9.079382949175339891e+05
5.625000000000000000e+04,9.031979086608226644e+05
5.675000000000000000e+04,8.985697358536577085e+05
5.725000000000000000e+04,8.940519605678371154e+05
5.775000000000000000e+04,8.896428117333437549e+05
5.825000000000000000e+04,8.853405605169869959e+05
5.875000000000000000e+04,8.811435178257721709e+05
5.925000000000000000e+04,8.770500319317465182e+05
5.975000000000000000e+04,8.730584862133910647e+05
6.025000000000000000e+04,8.691672970066793496e+05
6.075000000000000000e+04,8.653749115386721678e+05
6.125000000000000000e+04,8.616798059735459974e+05
6.175000000000000000e+04,8.580804835808140924e+05
6.225000000000000000e+04,8.545754729774406878e+05
6.275000000000000000e+04,8.511633264443572843e+05
6.325000000000000000e+04,8.478426183309232583e+05
6.375000000000000000e+04,8.446119435544236330e+05
6.425000000000000000e+04,8.414699161660874961e+05
6.475000000000000000e+04,8.384151680025245296e+05
6.525000000000000000e+04,8.354463473971752683e+05
6.575000000000000000e+04,8.325621179514459800e+05
6.625000000000000000e+04,8.297611573862021323e+05
6.675000000000000000e+04,8.270421564747674856e+05
6.725000000000000000e+04,8.244038180186189711e+05
6.775000000000000000e+04,8.218448558658214752e+05
6.825000000000000000e+04,8.193639940087019932e+05
6.875000000000000000e+04,8.169599657282975968e+05
6.925000000000000000e+04,8.146315127850705758e+05
6.975000000000000000e+04,8.123773846665476449e+05
7.025000000000000000e+04,8.101963378756589955e+05
7.075000000000000000e+04,8.080871352668517502e+05
7.125000000000000000e+04,8.060485454314316157e+05
7.175000000000000000e+04,8.040793421243336052e+05
7.225000000000000000e+04,8.021783037243854487e+05
7.275000000000000000e+04,8.003442127376045100e+05
7.325000000000000000e+04,7.985758553336539771e+05
7.375000000000000000e+04,7.968720209017755697e+05
7.425000000000000000e+04,7.952315016517410986e+05
7.475000000000000000e+04,7.936530922667646082e+05
7.525000000000000000e+04,7.921355895689573372e+05
7.575000000000000000e+04,7.906777922121168813e+05
7.625000000000000000e+04,7.892785003965796204e+05
7.675000000000000000e+04,7.879365155933523783e+05
7.725000000000000000e+04,7.866506403251079610e+05
7.775000000000000000e+04,7.854196779701896012e+05
7.825000000000000000e+04,7.842424325625330675e+05
7.875000000000000000e+04,7.831177086197846802e+05
7.925000000000000000e+04,7.820443109953898238e+05
7.975000000000000000e+04,7.810210447470531799e+05
8.025000000000000000e+04,7.800467150078562554e+05
8.075000000000000000e+04,7.791201268930775113e+05
8.125000000000000000e+04,7.782400854165072087e+05
8.175000000000000000e+04,7.774053953997660428e+05
8.225000000000000000e+04,7.766148614131649956e+05
8.275000000000000000e+04,7.758672877317424864e+05
8.325000000000000000e+04,7.751614782877190737e+05
8.375000000000000000e+04,7.744962366298255511e+05
8.425000000000000000e+04,7.738703658918864094e+05
8.475000000000000000e+04,7.732826687803968089e+05
8.525000000000000000e+04,7.727319475632794201e+05
8.575000000000000000e+04,7.722170040684798732e+05
8.625000000000000000e+04,7.717366396828594152e+05
8.675000000000000000e+04,7.712896553469881183e+05
8.725000000000000000e+04,7.708748515645561274e+05
8.775000000000000000e+04,7.704910284181419993e+05
8.825000000000000000e+04,7.701369855861042161e+05
8.875000000000000000e+04,7.698115223552084062e+05
8.925000000000000000e+04,7.695134376386491349e+05
8.975000000000000000e+04,7.692415299973379588e+05
9.025000000000000000e+04,7.689945976618153509e+05
9.075000000000000000e+04,7.687714385535250185e+05
9.125000000000000000e+04,7.685708503094839398e+05
9.175000000000000000e+04,7.683916303072256269e+05
9.225000000000000000e+04,7.682325756881645648e+05
9.275000000000000000e+04,7.680924833765962394e+05
9.325000000000000000e+04,7.679701501006175531e+05
9.375000000000000000e+04,7.678643724188964115e+05
9.425000000000000000e+04,7.677739467414489482e+05
9.475000000000000000e+04,7.676976693487915909e+05
9.525000000000000000e+04,7.676343364119961625e+05
9.575000000000000000e+04,7.675827440138895763e+05
9.625000000000000000e+04,7.675416881892426172e+05
9.675000000000000000e+04,7.675099649312675465e+05
9.725000000000000000e+04,7.674863697043351131e+05
9.775000000000000000e+04,7.674696973617105978e+05
9.825000000000000000e+04,7.674587454504327616e+05
9.875000000000000000e+04,7.674523146024120506e+05
9.925000000000000000e+04,7.674491973480462329e+05
9.975000000000000000e+04,7.674481718739862554e+05
